id,method,dataset,paramters,accuracy,time
87,Ensemblewatershed,SSL4,num_features=50,0.478125,10.19596791267395
88,watershed,SSL5,NA,0.5508333333333333,0.5156059265136719
89,IFT-SUM,SSL5,NA,0.6008333333333333,0.15158510208129883
90,RW,SSL5,beta=1.0,0.7225,0.01758742332458496
91,RW,SSL5,beta=3.0,0.7225,0.017277240753173828
92,RW,SSL5,beta=5.0,0.7225,0.017926454544067383
93,PW,SSL5,beta=1.0:k=3,0.7225,2.7949512004852295
94,PW,SSL5,beta=1.0:k=5,0.7225,4.221187114715576
95,PW,SSL5,beta=1.0:k=10,0.7225,6.9125144481658936
96,PW,SSL5,beta=3.0:k=3,0.7225,2.8350141048431396
97,PW,SSL5,beta=3.0:k=5,0.7225,4.00186014175415
98,PW,SSL5,beta=3.0:k=10,0.7225,8.66529655456543
99,PW,SSL5,beta=5.0:k=3,0.7225,2.868380308151245
100,PW,SSL5,beta=5.0:k=5,0.7225,4.228431224822998
101,PW,SSL5,beta=5.0:k=10,0.7225,9.214277505874634
102,SVM,SSL5,C=0.1,0.8333333333333334,0.1472764015197754
103,SVM,SSL5,C=1.0,0.835,0.14439630508422852
104,SVM,SSL5,C=3.0,0.8341666666666666,0.14264774322509766
105,1NN,SSL5,NA,0.6008333333333333,0.14958572387695312
106,RFC,SSL5,NA,0.7375,0.20586657524108887
107,Ensemblewatershed,SSL5,num_features=20,0.6516666666666666,53.70833778381348
108,Ensemblewatershed,SSL5,num_features=30,0.6375,53.70396828651428
109,Ensemblewatershed,SSL5,num_features=50,0.6383333333333333,56.867586851119995
110,watershed,SSL6,NA,0.945,0.5222101211547852
111,IFT-SUM,SSL6,NA,0.8808333333333334,0.15846514701843262
112,RW,SSL6,beta=1.0,0.7591666666666667,0.05963754653930664
113,RW,SSL6,beta=3.0,0.8808333333333334,0.7375638484954834
114,RW,SSL6,beta=5.0,0.9025,0.9213962554931641
115,PW,SSL6,beta=1.0:k=3,0.9025,7.960893630981445
116,PW,SSL6,beta=1.0:k=5,0.9025,12.272071361541748
117,PW,SSL6,beta=1.0:k=10,0.9025,20.6442973613739
118,PW,SSL6,beta=3.0:k=3,0.9025,7.614224672317505
119,PW,SSL6,beta=3.0:k=5,0.9025,12.116943597793579
120,PW,SSL6,beta=3.0:k=10,0.9025,21.892033576965332
121,PW,SSL6,beta=5.0:k=3,0.9025,7.671996355056763
122,PW,SSL6,beta=5.0:k=5,0.9025,12.146049737930298
123,PW,SSL6,beta=5.0:k=10,0.9025,20.43605375289917
124,SVM,SSL6,C=0.1,0.18333333333333332,0.1596086025238037
125,SVM,SSL6,C=1.0,0.1975,0.15891003608703613
126,SVM,SSL6,C=3.0,0.21,0.15782523155212402
127,1NN,SSL6,NA,0.8808333333333334,0.11441230773925781
128,RFC,SSL6,NA,0.8825,0.21453452110290527
129,Ensemblewatershed,SSL6,num_features=20,0.9483333333333334,52.11325120925903
130,Ensemblewatershed,SSL6,num_features=30,0.9516666666666667,52.51717972755432
131,Ensemblewatershed,SSL6,num_features=50,0.9441666666666667,56.5373101234436
132,watershed,SSL7,NA,0.5611990008326395,0.4872243404388428
133,IFT-SUM,SSL7,NA,0.6569525395503747,0.14882230758666992
134,RW,SSL7,beta=1.0,0.7960033305578684,0.01730966567993164
135,RW,SSL7,beta=3.0,0.7960033305578684,0.01712822914123535
136,RW,SSL7,beta=5.0,0.7960033305578684,0.01700901985168457
137,PW,SSL7,beta=1.0:k=3,0.7960033305578684,3.025702714920044
138,PW,SSL7,beta=1.0:k=5,0.7960033305578684,4.237712860107422
139,PW,SSL7,beta=1.0:k=10,0.7960033305578684,8.788940906524658
140,PW,SSL7,beta=3.0:k=3,0.7960033305578684,2.935513973236084
141,PW,SSL7,beta=3.0:k=5,0.7960033305578684,4.184586763381958
142,PW,SSL7,beta=3.0:k=10,0.7960033305578684,9.276245594024658
143,PW,SSL7,beta=5.0:k=3,0.7960033305578684,2.849985122680664
144,PW,SSL7,beta=5.0:k=5,0.7960033305578684,4.226507663726807
145,PW,SSL7,beta=5.0:k=10,0.7960033305578684,7.771035432815552
146,SVM,SSL7,C=0.1,0.5012489592006661,0.1467723846435547
147,SVM,SSL7,C=1.0,0.8476269775187344,0.14551949501037598
148,SVM,SSL7,C=3.0,0.8509575353871773,0.18253445625305176
149,1NN,SSL7,NA,0.6577851790174855,0.19254422187805176
150,RFC,SSL7,NA,0.6969192339716903,0.25098347663879395
151,Ensemblewatershed,SSL7,num_features=20,0.6877601998334721,53.81860399246216
152,Ensemblewatershed,SSL7,num_features=30,0.6744379683597003,52.401978969573975
153,Ensemblewatershed,SSL7,num_features=50,0.6852622814321399,53.6812686920166
